Subaru Outback,"$18700, 1557897сом","2015г.,2.5л.,вариатор,универсал,бензин,рульслева,138000км",https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg ; https://im.mashina.kg/tachka/images//4/5/a/45af3b0a2b7a9549cb9dcd7baf303ce2_240x180.jpg ; https://im.mashina.kg/tachka/images//8/3/a/83a3d0c750501944a9cf65b943185c3b_240x180.jpg ; https://im.mashina.kg/tachka/images//b/a/0/ba09a2e06ac8872414f64dd3f1a9dfd3_240x180.jpg
Toyota Camry,"$10700, 891417сом","2006г.,2.4л.,автомат,седан,бензин,рульслева,160256км",https://im.mashina.kg/tachka/images//2/e/8/2e8a985480aeb774a23355c1c9bad1cf_240x180.jpg ; https://im.mashina.kg/tachka/images//b/2/7/b279760737348fe80fc7ce10f7f3fddd_240x180.jpg
Lexus IS,"$25000, 2082750сом","2014г.,3.5л.,автомат,седан,бензин,рульслева,82000км",https://im.mashina.kg/tachka/images//2/3/2/2323ccc99429c490a0facafbf752c0d8_240x180.jpg ; https://im.mashina.kg/tachka/images//f/2/8/f28ff21a21a7c644c56ceeda1aec995d_240x180.jpg ; https://im.mashina.kg/tachka/images//1/b/9/1b967a8335d493c6c6f864aa9096342c_240x180.jpg ; https://im.mashina.kg/tachka/images//9/8/0/980ab04541e6ea8965df89853b8d7cc1_240x180.jpg ; https://im.mashina.kg/tachka/images//5/8/b/58bdd1868e9090861116e6fdb21aafa8_240x180.jpg
BMW 3 Серия,"$10900, 908079сом","2003г.,2.2л.,автомат,седан,бензин,рульслева,97000км",https://im.mashina.kg/tachka/images//5/d/3/5d3321ff248f6c525a697ac847f7e46c_240x180.jpg ; https://im.mashina.kg/tachka/images//b/6/e/b6eea487cfae6e36a59675d1e38ba86d_240x180.jpg ; https://im.mashina.kg/tachka/images//8/d/6/8d61db57f0f9e692588ea40843f036a1_240x180.jpg ; https://im.mashina.kg/tachka/images//a/3/6/a360cab159c2d211d2872846a583dd90_240x180.jpg ; https://im.mashina.kg/tachka/images//5/9/3/5930dbcac59f5143e4a6303d3eca6bcb_240x180.jpg
Mercedes-Benz CLS-класс,"$30000, 2499300сом","2011г.,3.5л.,автомат,седан,бензин,рульслева,97000км",https://im.mashina.kg/tachka/images//8/1/c/81cec4f28d7111a12f358db06e016687_240x180.jpg ; https://im.mashina.kg/tachka/images//1/1/2/112a653ca5877349e7c5c1bf6d1a63d8_240x180.jpg ; https://im.mashina.kg/tachka/images//7/a/1/7a1ccc3e45b386dd6d09bdbe1bf69a42_240x180.jpg ; https://im.mashina.kg/tachka/images//a/1/3/a13b0c97ff79601fc97c4d116500b870_240x180.jpg ; https://im.mashina.kg/tachka/images//d/7/a/d7a47599b206c134a5919a7f8727d1a4_240x180.jpg
BAIC EC3,"$13473, 1122436сом","2021г.,автомат,хэтчбек5дв.,электро,рульслева,14073км",https://im.mashina.kg/tachka/images//9/0/5/905cbebbce4181ed446903294078894f_240x180.jpg ; https://im.mashina.kg/tachka/images//f/5/d/f5de3fe1440c85ed39f38a4234608b98_240x180.jpg ; https://im.mashina.kg/tachka/images//6/1/6/616d89a31bb106709a5a386690b4fa99_240x180.jpg ; https://im.mashina.kg/tachka/images//6/9/3/69307d8d539658288f357f0bfff656fb_240x180.jpg ; https://im.mashina.kg/tachka/images//a/f/1/af18b63453782da1d9aaa6a2260e899a_240x180.jpg
Mercedes-Benz W124,"$4201, 350000сом","1991г.,2.3л.,механика,седан,бензин,рульслева",https://im.mashina.kg/tachka/images//4/e/b/4eb89d9db14772a903ee55fe624ff70a_240x180.jpg ; https://im.mashina.kg/tachka/images//4/4/c/44cbbab1c6798fbc692f9bfe9c170d9d_240x180.jpg ; https://im.mashina.kg/tachka/images//6/e/c/6ec96b1e2e140bb425d0077702cec228_240x180.jpg ; https://im.mashina.kg/tachka/images//f/d/9/fd95fa17c118722de28d98c20f96294c_240x180.jpg ; https://im.mashina.kg/tachka/images//5/7/d/57df17bcca96e0b7fb9a071f0047f702_240x180.jpg
Land Rover Range Rover,"$11500, 958065сом","2007г.,4.2л.,автомат,внедорожник5дв.,бензин,рульслева",https://im.mashina.kg/tachka/images//c/c/d/ccd689f163ae6910ae17a0515e9e801d_240x180.jpg ; https://im.mashina.kg/tachka/images//b/3/e/b3eed0a5e8bcc7598e922f0417196d1a_240x180.jpg ; https://im.mashina.kg/tachka/images//1/5/4/1540543f33b2c598cb03d94e54906597_240x180.jpg ; https://im.mashina.kg/tachka/images//4/0/b/40b6000d07aa31de21e632cb11a45d70_240x180.jpg ; https://im.mashina.kg/tachka/images//9/0/1/901ffeb56209701dbc75d33d4aa955a1_240x180.jpg
Hyundai Getz,"$5200, 433212сом","2008г.,1.4л.,механика,хэтчбек5дв.,бензин,рульслева,128000км",https://im.mashina.kg/tachka/images//1/7/2/172552544586b511a921d4a8015b26c0_240x180.jpg ; https://im.mashina.kg/tachka/images//6/2/e/62e73d370f1788cd52417827ba426cff_240x180.jpg ; https://im.mashina.kg/tachka/images//e/8/a/e8af91672e48ece6e8878734983630d0_240x180.jpg ; https://im.mashina.kg/tachka/images//d/b/8/db82beece1f71ae139dfdb65f7201c13_240x180.jpg ; https://im.mashina.kg/tachka/images//e/b/5/eb50fd19c696a78ead771e870e305214_240x180.jpg
Hyundai Elantra,"$12900, 1074699сом","2017г.,2л.,автомат,седан,бензин,рульслева,129000км",https://im.mashina.kg/tachka/images//1/7/b/17b30b1efc3ba65eabbd0d3526aec307_240x180.jpg ; https://im.mashina.kg/tachka/images//6/5/1/651c41725bc80aeeee788591b8a526f0_240x180.jpg ; https://im.mashina.kg/tachka/images//f/3/f/f3f0a6207be173723700e133290d9ef8_240x180.jpg ; https://im.mashina.kg/tachka/images//a/8/c/a8cb6182bdbe07603765b21aed05b3ea_240x180.jpg ; https://im.mashina.kg/tachka/images//8/6/a/86ae387eaf5231b890e77447b3e26e1f_240x180.jpg
BMW 7 Серия,"$62000, 5165220сом","2016г.,4.4л.,автомат,седан,бензин,рульслева,52000км",https://im.mashina.kg/tachka/images//4/8/0/480872bd60de4f88b78266b04f7c8822_240x180.jpg ; https://im.mashina.kg/tachka/images//8/3/d/83d402920847b52ee9956ec40ebdd169_240x180.jpg ; https://im.mashina.kg/tachka/images//c/f/a/cfa954da8456dead35e14783e5907128_240x180.jpg ; https://im.mashina.kg/tachka/images//e/9/7/e97add91f57c26516eb195433676c117_240x180.jpg ; https://im.mashina.kg/tachka/images//f/e/3/fe32f4b2732993a07536e3c82639adf1_240x180.jpg
Toyota Camry,"$24800, 2066088сом","2017г.,2.5л.,автомат,седан,бензин,рульслева,55500км",https://im.mashina.kg/tachka/images//3/4/8/348a58b24b3c130417f5735dfeffcd26_240x180.jpg ; https://im.mashina.kg/tachka/images//d/d/1/dd1c1155225e7715a1f45b8fe8ae9e29_240x180.jpg ; https://im.mashina.kg/tachka/images//4/5/a/45a387348cd986d5c79cd214de4f6822_240x180.jpg ; https://im.mashina.kg/tachka/images//c/0/d/c0ddfc046b2d4813290cd330686e52fe_240x180.jpg ; https://im.mashina.kg/tachka/images//2/3/8/238e4f0d867c909d2b5179ea24e6e6f4_240x180.jpg
Toyota Land Cruiser,"$25500, 2124405сом","2005г.,4.7л.,автомат,внедорожник5дв.,бензин,рульслева,180000км",https://im.mashina.kg/tachka/images//0/6/0/060c31db5fa08cb7f341a00a48c9a097_240x180.jpg ; https://im.mashina.kg/tachka/images//9/9/2/992cf4283d169da509f350f59bd77ef4_240x180.jpg ; https://im.mashina.kg/tachka/images//0/9/a/09acf18c2e09ef8874d11e4864258e56_240x180.jpg ; https://im.mashina.kg/tachka/images//9/0/0/900ea34db0e22efffa6f3f62a135e873_240x180.jpg
Honda Stepwgn,"$11700, 974727сом","2003г.,2л.,автомат,минивэн,бензин,рульсправа",https://im.mashina.kg/tachka/images//4/d/c/4dccda59050cb6e07093033cb9def2b4_240x180.jpg ; https://im.mashina.kg/tachka/images//5/3/7/53790c808861e174d5aebb5861865b48_240x180.jpg ; https://im.mashina.kg/tachka/images//8/5/1/8513ae4f6b18efc0215cde0d7c7087c7_240x180.jpg
Toyota Camry,"$18200, 1516242сом","2016г.,2л.,автомат,седан,бензин,рульслева,123456км",https://im.mashina.kg/tachka/images//7/6/7/767c46cb3d1758dd4cc92a024ae16d51_240x180.jpg ; https://im.mashina.kg/tachka/images//d/1/6/d1624104da0c6a0ef4e4dfce94f05d9e_240x180.jpg ; https://im.mashina.kg/tachka/images//9/4/4/94466445ad4de714d19325dc899c773d_240x180.jpg ; https://im.mashina.kg/tachka/images//c/5/1/c51f35edba39aab8c03192f89907e69f_240x180.jpg
Toyota 4Runner,"$38000, 3165780сом","2016г.,4л.,автомат,внедорожник5дв.,бензин,рульслева,83300км",https://im.mashina.kg/tachka/images//f/7/c/f7c8bf44bb634365f3ab96465ed538ff_240x180.jpg ; https://im.mashina.kg/tachka/images//7/3/5/7350064c0e645350336f1c71b45c4504_240x180.jpg ; https://im.mashina.kg/tachka/images//c/2/9/c29b824636815c23a5c89989fa45bbe9_240x180.jpg ; https://im.mashina.kg/tachka/images//7/9/b/79bedc64c5123c7424ddb71832948eb9_240x180.jpg ; https://im.mashina.kg/tachka/images//1/9/a/19ac4971197ee3cc56081bf8dfcc82a4_240x180.jpg
Lexus NX,"$40000, 3332400сом","2016г.,2.5л.,вариатор,внедорожник5дв.,гибрид,рульслева,10000км",https://im.mashina.kg/tachka/images//d/4/5/d454cb2ca27554bafc98382ec461cfb8_240x180.jpg ; https://im.mashina.kg/tachka/images//4/f/7/4f7c70f360a60d5cbe184108ef0f0bd8_240x180.jpg ; https://im.mashina.kg/tachka/images//b/a/f/baf6670d3e4489680736fe7ce9bf2f90_240x180.jpg ; https://im.mashina.kg/tachka/images//c/a/d/cad8bc3d9ee6274c7c7cc920f7b6fb8b_240x180.jpg
Kia Sorento,"$23500, 1957785сом","2016г.,2л.,автомат,внедорожник5дв.,дизель,рульслева,183000км",https://im.mashina.kg/tachka/images//d/5/b/d5ba77a57b19891a5b2cb40178c3fc2d_240x180.jpg ; https://im.mashina.kg/tachka/images//5/b/c/5bcb65bd66716bf5f304e9d5225824fb_240x180.jpg ; https://im.mashina.kg/tachka/images//1/8/e/18e68b508a19ea96eb1e49ad71bd9be1_240x180.jpg ; https://im.mashina.kg/tachka/images//9/8/b/98bf6091ef7685e10199cc633088913b_240x180.jpg ; https://im.mashina.kg/tachka/images//d/2/b/d2b506f29b7b35f78389dde2a9fcc14f_240x180.jpg
BMW 3 Серия,"$11500, 958065сом","2010г.,2л.,автомат,седан,бензин,рульслева,167000км",https://im.mashina.kg/tachka/images//0/1/d/01d47d44aef125df25d17163c89825f9_240x180.jpg ; https://im.mashina.kg/tachka/images//0/9/e/09e799e5dff9079213cff8b936e885ce_240x180.jpg ; https://im.mashina.kg/tachka/images//d/9/9/d99170b8f67242c8bf1c62ae8b22dc4a_240x180.jpg ; https://im.mashina.kg/tachka/images//8/b/8/8b81b3d199d1af4df65e3ab2fd74601c_240x180.jpg ; https://im.mashina.kg/tachka/images//f/2/9/f2990d6def24ffd188e9794bea943ab2_240x180.jpg
Toyota Camry,"$16500, 1374615сом","2016г.,2.5л.,автомат,седан,бензин,рульслева,90000км",https://im.mashina.kg/tachka/images//d/1/a/d1ade9e32f00a7bf25016abb399d8112_240x180.jpg ; https://im.mashina.kg/tachka/images//a/4/9/a4912d42b7d86777be67dc2325e0fb98_240x180.jpg ; https://im.mashina.kg/tachka/images//3/5/a/35ac459615f76ea97ce079543783b42e_240x180.jpg ; https://im.mashina.kg/tachka/images//e/d/b/edbe12550948102fdfb831293b50bfaa_240x180.jpg ; https://im.mashina.kg/tachka/images//1/0/0/100a7276fd643d917df075ecc5a28328_240x180.jpg
Honda Stream,"$6999, 583087сом","2002г.,2л.,автомат,компактвэн,бензин,рульслева,313000км",https://im.mashina.kg/tachka/images//e/b/f/ebfe4541f583caec3f4d6964eb938c9d_240x180.jpg ; https://im.mashina.kg/tachka/images//e/9/d/e9d0cc9f7b8dde6a9ff0fb376553575f_240x180.jpg ; https://im.mashina.kg/tachka/images//0/9/3/09376a6584f517f9cda3d9ac9cf9f82f_240x180.jpg ; https://im.mashina.kg/tachka/images//b/0/e/b0e3258225611eb930e62d70f600901d_240x180.jpg ; https://im.mashina.kg/tachka/images//f/9/5/f95a7a2cd72a945fd6820bb693faf407_240x180.jpg
Lexus RX,"$28000, 2332680сом","2015г.,3.5л.,автомат,внедорожник5дв.,бензин,рульслева,150000км",https://im.mashina.kg/tachka/images//b/e/0/be01b48771cf1d14332d996f4da25c16_240x180.jpg ; https://im.mashina.kg/tachka/images//0/1/1/01178e37005474fcbcba751378463c6b_240x180.jpg ; https://im.mashina.kg/tachka/images//c/1/a/c1a29b663e1f4fd084d00ef09b96183a_240x180.jpg ; https://im.mashina.kg/tachka/images//9/8/0/98058f3c637a0993f801965f9eb32958_240x180.jpg ; https://im.mashina.kg/tachka/images//f/d/d/fddc03661e4a50d009bcb413745927c9_240x180.jpg
Lexus ES,"$61500, 5123565сом","2021г.,2.5л.,автомат,седан,бензин,рульслева,32500км",https://im.mashina.kg/tachka/images//c/3/1/c312e08eca0ef35857eb59c62d042a14_240x180.jpg ; https://im.mashina.kg/tachka/images//a/4/0/a40ba591c5214ee59129e6c65fa2675c_240x180.jpg ; https://im.mashina.kg/tachka/images//6/0/d/60dceef8fbf7ae8d6c24c970f22f57d9_240x180.jpg ; https://im.mashina.kg/tachka/images//8/0/d/80dc5c97492cde1c74acc48ae3df8c96_240x180.jpg ; https://im.mashina.kg/tachka/images//8/e/4/8e42967c8e3e9221fb4b2a537d8bff75_240x180.jpg
Nissan Patrol,"$10500, 874755сом","2001г.,3л.,механика,внедорожник5дв.,дизель,рульслева,200000км",https://im.mashina.kg/tachka/images//4/6/8/46842bc021d9b3cd996f76b4aa5ec600_240x180.jpg ; https://im.mashina.kg/tachka/images//2/2/3/223b82275620b105296f39045c330f14_240x180.jpg ; https://im.mashina.kg/tachka/images//9/e/4/9e4d9a83eef79bd54233c1d84ded4d1a_240x180.jpg ; https://im.mashina.kg/tachka/images//c/1/5/c1527adf59e35360e213c928615a4f08_240x180.jpg ; https://im.mashina.kg/tachka/images//1/e/a/1ea9e84e08975459bd9fd2df9470a070_240x180.jpg
Jeep Liberty (North America),"$9300, 774783сом","2007г.,3.7л.,автомат,внедорожник5дв.,бензин,рульслева",https://im.mashina.kg/tachka/images//0/c/7/0c73e031f3b34caaf6265ab16cb4b4d5_240x180.jpg ; https://im.mashina.kg/tachka/images//8/8/6/886a53f23ab04bdd1a6b1b1b465f59b9_240x180.jpg ; https://im.mashina.kg/tachka/images//f/d/6/fd68650fc63214d8a0e8005d2dae8d00_240x180.jpg ; https://im.mashina.kg/tachka/images//1/4/e/14e3db1c0d4c0a8960ef4bce9be53567_240x180.jpg ; https://im.mashina.kg/tachka/images//c/8/4/c84d753dca26f1913fa67a546b65770a_240x180.jpg
Hyundai Solaris,"$8400, 699804сом","2015г.,1.4л.,автомат,седан,бензин,рульслева,382000км",https://im.mashina.kg/tachka/images//8/3/1/831d0aedf741ad9671f60075a5428c93_240x180.jpg ; https://im.mashina.kg/tachka/images//4/b/1/4b142f16449f7905ba16a8f834c6d6ec_240x180.jpg ; https://im.mashina.kg/tachka/images//2/0/3/203e6b4bff38ab426374bae3ba1dae24_240x180.jpg ; https://im.mashina.kg/tachka/images//e/1/c/e1cb3e878c0a0bf8b16ffe1a37805514_240x180.jpg ; https://im.mashina.kg/tachka/images//3/e/8/3e83bab1962f6de19ab35488707bf7e4_240x180.jpg
Toyota Camry,"$17500, 1457925сом","2015г.,2.5л.,автомат,седан,бензин,рульслева,150000км",https://im.mashina.kg/tachka/images//5/8/a/58a60c2e2832d6baccedc2569926bce5_240x180.jpg ; https://im.mashina.kg/tachka/images//2/e/c/2ecdd9dd9581066fe0723a9d6f0adf83_240x180.jpg ; https://im.mashina.kg/tachka/images//2/2/f/22fd4904c11f0e2dad08e92c32d462bb_240x180.jpg ; https://im.mashina.kg/tachka/images//1/f/3/1f3f27556f3359f5a35327318f190116_240x180.jpg ; https://im.mashina.kg/tachka/images//0/e/f/0ef678e5af7c93206f9e828143707bba_240x180.jpg
BMW 5 Серия,"$13500, 1124685сом","2005г.,3л.,автомат,седан,бензин,рульслева,194700км",https://im.mashina.kg/tachka/images//1/7/e/17e67932691f5e81964c5652824789b9_240x180.jpg ; https://im.mashina.kg/tachka/images//e/c/4/ec48e1fbeb5626d27a360c8a32d6d3a4_240x180.jpg ; https://im.mashina.kg/tachka/images//8/a/1/8a11f5d3890165477b919e67babc52d8_240x180.jpg ; https://im.mashina.kg/tachka/images//1/4/f/14f67523c7c2b64017b7a932b060b4d5_240x180.jpg ; https://im.mashina.kg/tachka/images//2/4/7/247456878cfc54b6487132680576131d_240x180.jpg
Mercedes-Benz S-класс,"$14700, 1224657сом","2007г.,5.5л.,автомат,седан,бензин,рульслева,150000км",https://im.mashina.kg/tachka/images//6/1/3/6135525177f7f6330b76e001f1c9a0b8_240x180.jpg ; https://im.mashina.kg/tachka/images//a/d/e/adefb47e37d27e6e563fbc5b7d2c1ad1_240x180.jpg ; https://im.mashina.kg/tachka/images//c/4/c/c4c58b766b4aef45ee96bc80c9a70c1f_240x180.jpg ; https://im.mashina.kg/tachka/images//4/6/a/46a0749be5ffd6207e1edf209aa3a65e_240x180.jpg ; https://im.mashina.kg/tachka/images//5/9/4/594ee92717a20cfef0c85932be2f288a_240x180.jpg
Toyota Camry,"$16500, 1374615сом","2014г.,2.5л.,автомат,седан,бензин,рульслева,70000км",https://im.mashina.kg/tachka/images//e/c/6/ec675befd09935e40572ebe19baebdd0_240x180.jpg ; https://im.mashina.kg/tachka/images//4/d/8/4d8da87b5a5b2149c194d4c2d0146ee3_240x180.jpg ; https://im.mashina.kg/tachka/images//0/0/c/00c704ec08360a02a121ca24c6a25733_240x180.jpg ; https://im.mashina.kg/tachka/images//a/8/1/a81161951e6020e433c911ee48a38990_240x180.jpg ; https://im.mashina.kg/tachka/images//3/6/c/36c164edf73f6c6ba0911a7798c9531e_240x180.jpg
Mercedes-Benz E-класс,"$7500, 624825сом","2000г.,2.7л.,автомат,седан,дизель,рульслева",https://im.mashina.kg/tachka/images//d/c/5/dc5d9dc3a7d301f6aeee94e4eab42213_240x180.jpg ; https://im.mashina.kg/tachka/images//b/0/5/b0596eec6cfa35eb072bc98fb628b4a5_240x180.jpg ; https://im.mashina.kg/tachka/images//4/d/e/4deec47c6068e2e530ce3ba99a2aa09c_240x180.jpg ; https://im.mashina.kg/tachka/images//7/a/5/7a56734bf7bf974add5f4d3cc51e54ee_240x180.jpg ; https://im.mashina.kg/tachka/images//a/6/8/a68afd682b25715378d4cb970f3b87c6_240x180.jpg
Land Rover Range Rover,"$95000, 7914450сом","2017г.,4.4л.,автомат,внедорожник5дв.,дизель,рульслева,92000км",https://im.mashina.kg/tachka/images//d/5/2/d52ec91b47c8cf5853ee5d167b3c1817_240x180.jpg ; https://im.mashina.kg/tachka/images//9/7/0/970c561f5cb7a5e7e6d077fd493fdae4_240x180.jpg ; https://im.mashina.kg/tachka/images//a/2/3/a23214a74e22385c23ca0cbabe139b6b_240x180.jpg ; https://im.mashina.kg/tachka/images//f/d/9/fd90c63214b464b3a8b39b33316b747d_240x180.jpg ; https://im.mashina.kg/tachka/images//d/5/d/d5dcde57e449750c7d02a59847365234_240x180.jpg
Toyota Camry,"$9700, 808107сом","2003г.,2.4л.,автомат,седан,бензин,рульслева,270000км",https://im.mashina.kg/tachka/images//9/0/7/9078ccac60e2d7243a95a0af2e3fd0ca_240x180.jpg ; https://im.mashina.kg/tachka/images//f/f/c/ffcc6d342e1698377c806c26cff61cc6_240x180.jpg ; https://im.mashina.kg/tachka/images//1/c/3/1c3b8a5907ebeaedb099cabdb1bcf2c4_240x180.jpg ; https://im.mashina.kg/tachka/images//5/0/3/503ebabe1d4180fb14b8ffd1e810d0dc_240x180.jpg ; https://im.mashina.kg/tachka/images//a/3/2/a329e6514058dad8364ea1b01cf0cbf0_240x180.jpg
Kia Morning,"$9199, 766369сом","2016г.,1л.,автомат,хэтчбек5дв.,бензин,рульслева,97000км",https://im.mashina.kg/tachka/images//1/4/d/14d796c1a55c767f4f3b213a1a65b8a6_240x180.jpg ; https://im.mashina.kg/tachka/images//1/2/f/12fd11c83e742f8cc66f7d44708af6fb_240x180.jpg ; https://im.mashina.kg/tachka/images//6/c/8/6c86ec4a6fa92cd71493e958a8834907_240x180.jpg ; https://im.mashina.kg/tachka/images//5/d/e/5de6536f089fde87452563e16d944d4e_240x180.jpg ; https://im.mashina.kg/tachka/images//2/a/0/2a0f887599a33620a63de3022ab482dc_240x180.jpg
